1,"Pascal","Bruckner","Romancier, philosophe et essayiste",0,11/02/20,"succédant à Bernard Pivot au 1er couvert"
2,"Eric-Emmanuel","Schmitt","Dramaturge, philosophe, écrivain",0,05/01/16,"succédant à Edmonde Charles-Roux au 2ème couvert. Élu trésorier le 6 mai 2025"
3,"Didier","Decoin","Écrivain, scénariste",1,06/06/95,"succédant à Jean Cayrol au 3ème couvert. Après en avoir été le Secrétaire général il était Président de la Société littéraire du 20 janvier 2020 au 13 mai 2024. "
4,"Paule","Constant","Écrivain, ",0,08/01/13,"succédant à Robert Sabatier au 4ème couvert"
5,"Christine","Angot","écrivaine, ",0,28/02/23,"succédant à Patrick Rambaud au 5ème couvert."
6,"Tahar","Ben Jelloun","Écrivain, poète et peintre.",0,06/05/08,"succédant à François Nourissier au 6ème couvert"
7,"Camille","Laurent","Écrivain, ",0,11/02/20,"succédant à Virginie Despentes au 7ème couvert. Élue secrétaire générale le 13 mai 2024."
8,"Françoise","Chandernagor","Ecrivain, Ancien membre du Conseil d'État",0,06/06/95,"succédant à Emmanuel Roblès au 8ème couvert. En est la Vice-Présidente."
9,"Philppe","Claudel","Écrivain, réalisateur, dramaturge",0,11/01/12,"succédant à Jorge Semprun au 9ème couvert. Après en avoir été le Trésorier, puis Secrétaire général, il est élu Président de la Société littéraire le 13 mai 2024."
10,"Pierre","Assouline","Ecrivain, journaliste",0,11/01/12,"succédant à Françoise Mallet-Joris au 10ème couvert"
