1,"Minotaure","Boris","Bergmann","9782226511874",256,"19/08/2026","Albin Michel","non précisé","A 23 ans, l'auteur s'apprête à surprendre son père, qu'il n'a jamais rencontré, dans son cabinet de psychiatre. Cette rencontre survient après une quête de ce père disparu depuis sa naissance. Un récit littéraire autobiographique en hommage à la mère."
2,"Faire la peau","Louise","Chennevière","9782818063583",286,"20/08/2026","P.O.L.","17","A 30 ans, la narratrice réalise son rêve d'émancipation en se libérant de l'emprise maternelle qu'elle subit depuis l'enfance. Elle déconstruit ses souvenirs d'enfant et d'adolescente, luttant contre les fantasmes, les interdits et les lois pour tuer sa mère."
3,"Chronique d'un royaume perdu","Ananda","Devi","9782246846949",464,"19/08/2026","Grasset","non précisé","Au Bouchon, petit village isolé de l’île Maurice, quatre générations se succèdent depuis le temps de l’esclavage. La violence se mêle à l’amour, la tendresse à la haine, les plus nobles passions aux vices les plus vils, les sangs des unes aux sangs des autres…Les cinq fondateurs viennent d’une plantation lointaine  : trois sont nés dans la puissante et blanche famille Dumontais  ; deux d’une esclave noire. Mais les trois blancs sont en vérité le fruit d’une passion entre Madame et le Vieux Bouc, un esclave magnétique qui revendique aussi la paternité des deux derniers. Bannis pour s’être liés d’amour et d’amitié, les cinq enfants devenus grands trouvent refuge dans ce lieu perdu dont ils font leur royaume, autarcique et magique, qu’ils défendent d’un seul corps, puisqu’ici sont abolies les frontières entre passé, présent et avenir  ; vie et mort  ; réel et fantastique.Tel homme entend sans le vouloir tous les péchés humains  ; telle femme meurt et renait en déesse protectrice  ; un enfant vit parmi les oiseaux quand son cousin viole et tue sans frein  ; le moulin est hanté par les voix des fantômes, la nature donne les plus beaux fruits mais décapite la chapelle  ; les guerres du monde contemporain rencontrent les combats intérieurs de chaque individu et l’histoire de l’humanité se reproduit dans l’infiniment petit de leurs existences débridées. Parmi eux, un enfant timide sera le chroniqueur de ce royaume hors-norme dont il livre les jours de paix, de luttes, et les nuits de folie pour empêcher l’oubli.Épopée fabuleuse,  mythologie vibrante, fable majestueuse, cette Chronique d’un Royaume perdu est le chef d’œuvre d’Ananda Devi. "
4,"Le Fabuleux Piano","Sonia","Devillers","9782221286807",288,"27/08/2026","Robert Laffont","non précisé","En partant sur les traces de l’instrument disparu, Sonia Devillers restitue l’incroyable histoire de ces pianos-fantômes, arrachés aux juifs, pillés par milliers à Paris, parqués dans des « Camps pour pianos », transportés sous les bombes jusqu’aux confins du IIIe Reich. Parmi eux, le fabuleux piano de la famille Enoch, célèbres éditeurs de partitions, qui se transmettaient l’instrument de père en fils. Sonia Devillers plonge dans leur passé, constellé des grandes gloires de la musique françaises, des premiers concertos de Maurice Ravel au triomphe mondial d’Yves Montand chantant Les Feuilles mortes de Prévert. Une saga familiale rythmée par la montée du nazisme, les rafles des juifs à Paris et la résilience des survivants qui taisent leurs blessures, mais cherchent encore et toujours leur piano. Sonia Devillers écrit cette histoire en la mêlant petit à petit à la sienne. Sa famille juive a fui la Roumanie communiste, laissant derrière elle un piano remarquable que sa grand-mère n’a jamais pu oublier. Retrouvera-t-on un jour ces instruments ? Qui sait… Les beaux pianos vivent plus longtemps que les hommes. "
5,"Nous aussi","Anne","Godard","978B0H1LKL58M",201,"19/08/2026","Actes Sud","18","On fait partie d'une grande famille. On sait qu'on est privilégiés. On vit ensemble, dans notre immeuble au centre de Paris, on se retrouve l'été dans notre maison à la montagne. On trouve que c'est normal. C'est chez nous, c'est à nous, c'est pour nous. On se ressemble, on se compare, on se confronte, on ne se quitte pas, on se confond, on s'appartient. On ne sait pas comment dire je, on n'en a pas besoin, puisqu'on est nous. Nous les enfants, les frères et soeurs, les cousins, les cousines, on partage tout, nos écoles, nos chambres, nos habits, nos repas, nos jeux, nos bains, nos lits. On est les membres indissociables du grand corps familial. On n'a jamais vécu dehors. On ne sait pas ce que c'est. On n'en est pas capables. On n'en a même pas envie. Et tout aurait dû continuer ainsi, dans un même immuable recommencement. Le jour où la façade s'est fissurée, on n'a pas compris. Ça n'aurait pas dû se produire, pas dans notre famille. Ce n'était pas possible que ça nous arrive, à nous aussi. Prix des libraires de Nancy2026"
6,"Joseph dans la nuit","Olivier","Grondeau","9782378805975",250,"20/08/2026","L' Iconoclaste","non précisé","Alors qu'il séjourne dans une auberge de Chiraz, en Iran, Olivier Grondeau, voyageur épris de liberté, est arrêté par la police, qui l'accuse de collecter des informations pour des pays étrangers. Enfermé dans une cellule de prison exiguë, ce passionné de littérature mobilise tout ce qui peut lui apporter de la lumière, de la poésie persane aux chansons de Britney Spears."
7,"La solitude des professeurs est infinie","Yannick","Haenel","9782073161925",320,"20/08/2026","Gallimard","non précisé","Jean Deichel, jeune professeur de français, fait son stage dans un collège de la banlieue parisienne. La nuit, il loge dans un Tennis-Club à Deuilla-Barre ; le jour, il découvre les difficultés du métier en même temps que ses joies profondes, la violence de l’École en même temps que sa beauté. Mais Jean est aussi un poète ivre d’aventure, attentif à trouver la lumière de la « vraie vie » au cœur du quotidien le plus gris : dans des jardins réels ou rêvés, au bord d’un lac, lors d’évasions à Pompéi et Tarquinia, mais surtout dans la grâce fragile d’un cours réussi. Avec une écriture somptueuse, qui atteint l’équilibre entre réalité politique et mystère existentiel, Yannick Haenel nous offre un grand roman sur la condition des enseignants."
8,"Je","Lilia","Hassaine","9782073099945",256,"20/08/2026","Gallimard","non précisé","- Que savez-vous de la beauté, Antoinette ? Il se tourna vers moi, suspendu à ma réponse. \n- Pas grand-chose. Mais je sais la reconnaître quand elle est là. \n- Eh bien moi, chaque fois que je la vois, elle me blesse. Quand je vois votre visage, par exemple, quelque chose en moi se trouve comme ébranlé.\"" Île de la Jamaïque, 1831. Antoinette Cosway, créole de bonne famille, s'éprend d'Edward Rochester, un Anglais aussi impénétrable que fascinant. Mais à la séduction enflammée succèdent rapidement des scènes vénéneuses, où les baisers sont des blessures, où toute une société livre la jeune femme à son bourreau. Des années plus tard, Antoinette tente de conquérir sa propre histoire. JE se situe à mi-chemin entre roman victorien et thriller intimiste contemporain. Lilia Hassaine s'est inspirée du personnage de la première femme de Rochester dans Jane Eyre, le roman culte de Charlotte Brontë. Elle a choisi de lui donner une voix, un corps, une destinée."
9,"L'Inconnue du quai de Javel","Philippe","Jaenada","9782080490896",528,"12/08/2026","Flammarion","non précisé","Le 6 septembre 1949, une jeune femme est retrouvée morte quai de Javel, à Paris, sans sac ni chaussures, manifestement rhabillée à la hâte puis déposée là par son assassin. Elle est identifiée le lendemain : c`est Louise Cansot, le modèle le plus demandé par les peintres de Montparnasse. Rapidement, quatre suspects se détachent, évidents, presque des archétypes. On dirait le début d`un roman de Simenon, mais l`inspecteur-chef Ferrière n`a pas le talent de Maigret, et doit se résoudre à classer l'affaire au bout de six mois, sans avoir arrêté personne. Soixante-quinze ans plus tard, Philippe Jaenada reprend l`enquête à partir du dossier retrouvé puis, comme à son habitude, sollicite ses contacts aux archives, exhume tous les documents, arpente tous les lieux - remonte le temps. Pour ce livre, il a lu les soixante-quinze enquêtes de Maigret, s`inspirant humblement et fidèlement des méthodes du commissaire fictif. Et il va résoudre ce meurtre bien réel, laissant le lecteur subjugué par la dextérité de son investigation et fasciné par cette jeune femme à laquelle il redonne un visage et une histoire."
10,"Une forêt","Jean-Yves","Jouannais","9782226499523",112,"02/01/2026","Albin Michel","18","Pendant les grands procès visant à éradiquer le nazisme dans la vie publique allemande, Jacob Michael Lenz, avocat et capitaine dans l'US Army, est appelé par un tribunal pour une affaire hors du commun. Des mainates, des oiseaux parleurs, nichant dans une forêt de Brême, ont appris à chanter des hymnes nazis et les transmettent à leurs oisillons."
11,"N'efface pas mes cercles","Emma","Marsantes","9782378562953",160,"20/08/2026","Verdier","non précisé","1980, une femme se suicide dans un appartement cossu. Dans les années cinquante, elle s'était unie avec un jeune homme à qui tout l'opposait. Explorant son histoire familiale, la narratrice tente de démêler les raisons de ce drame et dresse ce faisant le portrait d'une société aux prises avec ses démons : le patriarcat, la guerre, la colonisation, les injonctions à la réussite et au bonheur. N'efface pas mes cercles remonte le temps à la recherche des destins brisés et restitue avec force l'atmosphère des époques traversées. Cette saga bouleversante confirme le grand art d'Emma Marsantes."
12,"Choses que je croyais perdues","Clémentine","Mélois","9782073162854",164,"20/08/2026","Gallimard","non précisé","Après une rupture douloureuse, une jeune femme emballe ses affaires en vue d'un déménagement. Chaque objet lui donne l'occasion de revenir sur un moment de son histoire, s'interrogeant sur les traces qu'on laisse, les petits riens du quotidien, entre autres. "
13,"C'était ça ou mourir","Thélyson","Orélien","9782246847069",272,"19/08/2026","Grasset","16","Quand dans les rues de Carrefour-Feuilles les coups de feu et les flammes le somment de partir, Jonas Dorléon n’emporte presque rien : son diplôme, un cahier de poèmes, une photo de sa mère et un slip propre. Sa vie entière dans un sac de plastique. Se réfugiant d’abord du côté dominicain de la frontière, il attend dans l’antichambre d’Haïti que les choses se calment. Sauf que les choses ne se calment pas. Il faut marcher, encore, toujours. Devenir un migrant. Du Brésil au Mexique, il enfile les kilomètres, serrant toujours son sac de plastique contre lui, tantôt à bord d’un autobus surchauffé, tantôt dans les profondeurs de la jungle avec d’autres sans-papiers qui, autour de lui, tombent les uns après les autres. Quand enfin il atteint la frontière des États-Unis, ce sont les agents de l’ICE qui l’attendent. Jonas n’a plus qu’un objectif : quitter ce pays qui n’a rien de « great again » et gagner le Canada par le chemin Roxham, cette voie salutaire dont il a tant entendu parler. La plume foisonnante et poétique de Thélyson Orélien fait jaillir la beauté dans les zones les plus sombres de l’expérience humaine. Il parle la langue de l’exil, cette langue qui s’apprend « sans grammaire, sans dictionnaire, juste avec les os et la peau ». Surtout, il révèle une Amérique terrible et violente sur laquelle notre regard doit s’attarder."
14,"De l'autre côté du lac","Sylvain","Prudhomme","9782707358233",288,"27/08/2026","Éditions de Minuit","non précisé","Aux abords d'un lac de haute montagne, à la lisière d'une réserve interdite aux humains, un groupe de chercheurs s'affaire. Parmi eux, Paola - une photographe - aperçoit sur un des versants quelque chose qui échappe au regard de tous les autres. Les signes étranges s'accumulent, un corps est retrouvé. La photographe décide de rester là-haut, seule. Quelques mois plus tard, c'est elle qui, à son tour, disparaît."
15,"La Guerre éternelle","Olivier","Rolin","9782073121349",220,"20/08/2026","Gallimard","non précisé","« Pour donner à ma longue rêverie la forme d’un livre, j’avais besoin de voir. De la terre, des pierres, des arbres, un rivage. J’ai toujours besoin de voir. Je suis allé en Troade à la fin d’un mois de juin, alors que les coquelicots jetaient de grandes flaques rouges au milieu des champs de blé et d’oliviers où jadis s’affrontaient les héros. » Il y a quelque trente-trois siècles, des guerriers grecs ravagent une cité d’Asie Mineure qu’ils appellent Troïa ou Ilios. Les hommes sont massacrés, les femmes traînées en esclavage. C’était dans la nuit des temps, mais grâce à l’Iliade cela vit toujours dans notre mémoire. C’était, aussi bien, hier, aujourd’hui, demain : la tragédie de la destruction d’une ville n’a cessé d’être réécrite en lettres de feu et de sang, depuis Carthage un siècle et demi avant notre ère jusqu’à Dresde et Hiroshima, Marioupol et Gaza de nos jours. La guerre de Troie est éternelle, et Troie est la Mère de toutes les villes martyrisées. O. R."
